1	2	3	4
1	2	3	5
1	2	3	6
1	2	3	7
1	2	3	8
1	2	3	9
1	2	3	10
1	2	4	5
1	2	4	6
1	2	4	7
1	2	4	8
1	2	4	9
1	2	4	10
1	2	5	6
1	2	5	7
1	2	5	8
1	2	5	9
1	2	5	10
1	2	6	7
1	2	6	8
1	2	6	9
1	2	6	10
1	2	7	8
1	2	7	9
1	2	7	10
1	2	8	9
1	2	8	10
1	2	9	10
1	3	4	5
1	3	4	6
1	3	4	7
1	3	4	8
1	3	4	9
1	3	4	10
1	3	5	6
1	3	5	7
1	3	5	8
1	3	5	9
1	3	5	10
1	3	6	7
1	3	6	8
1	3	6	9
1	3	6	10
1	3	7	8
1	3	7	9
1	3	7	10
1	3	8	9
1	3	8	10
1	3	9	10
1	4	5	6
1	4	5	7
1	4	5	8
1	4	5	9
1	4	5	10
1	4	6	7
1	4	6	8
1	4	6	9
1	4	6	10
1	4	7	8
1	4	7	9
1	4	7	10
1	4	8	9
1	4	8	10
1	4	9	10
1	5	6	7
1	5	6	8
1	5	6	9
1	5	6	10
1	5	7	8
1	5	7	9
1	5	7	10
1	5	8	9
1	5	8	10
1	5	9	10
1	6	7	8
1	6	7	9
1	6	7	10
1	6	8	9
1	6	8	10
1	6	9	10
1	7	8	9
1	7	8	10
1	7	9	10
1	8	9	10
2	3	4	5
2	3	4	6
2	3	4	7
2	3	4	8
2	3	4	9
2	3	4	10
2	3	5	6
2	3	5	7
2	3	5	8
2	3	5	9
2	3	5	10
2	3	6	7
2	3	6	8
2	3	6	9
2	3	6	10
2	3	7	8
2	3	7	9
2	3	7	10
2	3	8	9
2	3	8	10
2	3	9	10
2	4	5	6
2	4	5	7
2	4	5	8
2	4	5	9
2	4	5	10
2	4	6	7
2	4	6	8
2	4	6	9
2	4	6	10
2	4	7	8
2	4	7	9
2	4	7	10
2	4	8	9
2	4	8	10
2	4	9	10
2	5	6	7
2	5	6	8
2	5	6	9
2	5	6	10
2	5	7	8
2	5	7	9
2	5	7	10
2	5	8	9
2	5	8	10
2	5	9	10
2	6	7	8
2	6	7	9
2	6	7	10
2	6	8	9
2	6	8	10
2	6	9	10
2	7	8	9
2	7	8	10
2	7	9	10
2	8	9	10
3	4	5	6
3	4	5	7
3	4	5	8
3	4	5	9
3	4	5	10
3	4	6	7
3	4	6	8
3	4	6	9
3	4	6	10
3	4	7	8
3	4	7	9
3	4	7	10
3	4	8	9
3	4	8	10
3	4	9	10
3	5	6	7
3	5	6	8
3	5	6	9
3	5	6	10
3	5	7	8
3	5	7	9
3	5	7	10
3	5	8	9
3	5	8	10
3	5	9	10
3	6	7	8
3	6	7	9
3	6	7	10
3	6	8	9
3	6	8	10
3	6	9	10
3	7	8	9
3	7	8	10
3	7	9	10
3	8	9	10
4	5	6	7
4	5	6	8
4	5	6	9
4	5	6	10
4	5	7	8
4	5	7	9
4	5	7	10
4	5	8	9
4	5	8	10
4	5	9	10
4	6	7	8
4	6	7	9
4	6	7	10
4	6	8	9
4	6	8	10
4	6	9	10
4	7	8	9
4	7	8	10
4	7	9	10
4	8	9	10
5	6	7	8
5	6	7	9
5	6	7	10
5	6	8	9
5	6	8	10
5	6	9	10
5	7	8	9
5	7	8	10
5	7	9	10
5	8	9	10
6	7	8	9
6	7	8	10
6	7	9	10
6	8	9	10
7	8	9	10
11	12	13	14
11	12	13	15
11	12	13	16
11	12	13	17
11	12	13	18
11	12	13	19
11	12	13	20
11	12	14	15
11	12	14	16
11	12	14	17
11	12	14	18
11	12	14	19
11	12	14	20
11	12	15	16
11	12	15	17
11	12	15	18
11	12	15	19
11	12	15	20
11	12	16	17
11	12	16	18
11	12	16	19
11	12	16	20
11	12	17	18
11	12	17	19
11	12	17	20
11	12	18	19
11	12	18	20
11	12	19	20
11	13	14	15
11	13	14	16
11	13	14	17
11	13	14	18
11	13	14	19
11	13	14	20
11	13	15	16
11	13	15	17
11	13	15	18
11	13	15	19
11	13	15	20
11	13	16	17
11	13	16	18
11	13	16	19
11	13	16	20
11	13	17	18
11	13	17	19
11	13	17	20
11	13	18	19
11	13	18	20
11	13	19	20
11	14	15	16
11	14	15	17
11	14	15	18
11	14	15	19
11	14	15	20
11	14	16	17
11	14	16	18
11	14	16	19
11	14	16	20
11	14	17	18
11	14	17	19
11	14	17	20
11	14	18	19
11	14	18	20
11	14	19	20
11	15	16	17
11	15	16	18
11	15	16	19
11	15	16	20
11	15	17	18
11	15	17	19
11	15	17	20
11	15	18	19
11	15	18	20
11	15	19	20
11	16	17	18
11	16	17	19
11	16	17	20
11	16	18	19
11	16	18	20
11	16	19	20
11	17	18	19
11	17	18	20
11	17	19	20
11	18	19	20
12	13	14	15
12	13	14	16
12	13	14	17
12	13	14	18
12	13	14	19
12	13	14	20
12	13	15	16
12	13	15	17
12	13	15	18
12	13	15	19
12	13	15	20
12	13	16	17
12	13	16	18
12	13	16	19
12	13	16	20
12	13	17	18
12	13	17	19
12	13	17	20
12	13	18	19
12	13	18	20
12	13	19	20
12	14	15	16
12	14	15	17
12	14	15	18
12	14	15	19
12	14	15	20
12	14	16	17
12	14	16	18
12	14	16	19
12	14	16	20
12	14	17	18
12	14	17	19
12	14	17	20
12	14	18	19
12	14	18	20
12	14	19	20
12	15	16	17
12	15	16	18
12	15	16	19
12	15	16	20
12	15	17	18
12	15	17	19
12	15	17	20
12	15	18	19
12	15	18	20
12	15	19	20
12	16	17	18
12	16	17	19
12	16	17	20
12	16	18	19
12	16	18	20
12	16	19	20
12	17	18	19
12	17	18	20
12	17	19	20
12	18	19	20
13	14	15	16
13	14	15	17
13	14	15	18
13	14	15	19
13	14	15	20
13	14	16	17
13	14	16	18
13	14	16	19
13	14	16	20
13	14	17	18
13	14	17	19
13	14	17	20
13	14	18	19
13	14	18	20
13	14	19	20
13	15	16	17
13	15	16	18
13	15	16	19
13	15	16	20
13	15	17	18
13	15	17	19
13	15	17	20
13	15	18	19
13	15	18	20
13	15	19	20
13	16	17	18
13	16	17	19
13	16	17	20
13	16	18	19
13	16	18	20
13	16	19	20
13	17	18	19
13	17	18	20
13	17	19	20
13	18	19	20
14	15	16	17
14	15	16	18
14	15	16	19
14	15	16	20
14	15	17	18
14	15	17	19
14	15	17	20
14	15	18	19
