quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
10_11_1_2,-17.673,0.202,-18.156,-0.49,0.042,-0.498,0.135,0.001,0.102,10,11,1,2
10_11_2_3,110.05,0.203,109.719,-0.399,0.039,-0.381,-0.016,0.004,-0.017,10,11,2,3
10_11_3_4,-59.01,0.801,-59.032,-0.05,0.011,-0.044,0.07,0.061,0.11,10,11,3,4
10_11_4_5,9.089,0.566,9.032,-0.536,0.01,-0.542,0.017,0.041,0.033,10,11,4,5
10_11_5_6,-55.664,0.808,-55.938,-0.306,0.004,-0.304,-0.058,0.064,-0.066,10,11,5,6
10_11_6_7,-7.462,0.243,-7.469,-0.288,0.002,-0.287,-0.466,0.011,-0.481,10,11,6,7
10_11_7_9,-131.226,0.018,-131.594,-0.097,0.008,-0.086,-0.871,0.008,-0.879,10,11,7,9
1_2_10_11,41.664,1.137,41.656,0.23,0.038,0.182,-0.004,0.016,0.0,1,2,10,11
1_2_3_4,89.267,0.054,89.0,-0.316,0.19,-0.306,-0.171,0.001,-0.168,1,2,3,4
1_2_4_5,-117.402,0.016,-117.625,0.004,0.11,-0.008,-0.042,0.0,-0.038,1,2,4,5
1_2_5_6,79.171,0.075,79.625,0.12,0.068,0.154,-0.024,0.002,-0.026,1,2,5,6
1_2_6_7,-80.046,0.834,-80.031,0.227,0.045,0.23,0.047,0.011,0.048,1,2,6,7
1_2_7_9,27.255,0.355,27.781,0.175,0.065,0.172,-0.003,0.005,-0.003,1,2,7,9
1_2_9_10,-115.382,0.238,-115.562,0.201,0.059,0.214,-0.005,0.004,-0.009,1,2,9,10
2_3_10_11,34.842,0.122,34.812,-0.273,0.03,-0.255,-0.018,0.001,-0.027,2,3,10,11
2_3_4_5,-122.125,0.088,-122.312,-1.885,0.223,-1.867,-0.307,0.006,-0.31,2,3,4,5
2_3_5_6,82.827,0.328,82.25,-0.82,0.107,-0.818,-0.08,0.006,-0.081,2,3,5,6
2_3_6_7,-80.774,0.089,-80.875,-0.501,0.008,-0.51,-0.054,0.001,-0.054,2,3,6,7
2_3_7_9,27.27,0.446,27.125,-0.375,0.008,-0.363,-0.022,0.007,-0.016,2,3,7,9
2_3_9_10,-110.276,0.812,-109.844,-0.321,0.021,-0.334,-0.006,0.013,-0.002,2,3,9,10
3_4_10_11,33.414,0.197,33.688,-0.079,0.037,-0.086,-0.023,0.002,-0.022,3,4,10,11
