quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
13_14_15_16,10.012,0.082,9.875,0.176,0.338,0.236,-0.356,0.002,-0.353,13,14,15,16
13_14_16_17,13.928,1.164,14.188,0.82,0.266,0.858,-0.158,0.016,-0.166,13,14,16,17
13_14_17_18,47.108,0.477,47.376,0.899,0.276,0.964,-0.016,0.007,-0.015,13,14,17,18
13_14_18_19,-43.793,0.059,-43.188,0.965,0.266,0.936,-0.008,0.001,-0.008,13,14,18,19
13_14_19_20,3.968,0.312,3.688,1.03,0.21,1.105,-0.005,0.004,-0.01,13,14,19,20
13_14_20_21,-18.098,0.556,-17.875,0.974,0.261,0.963,0.066,0.007,0.07,13,14,20,21
13_14_21_22,-11.601,0.039,-12.157,0.844,0.268,0.947,0.01,0.001,0.01,13,14,21,22
14_15_16_17,20.794,1.051,19.719,-1.95,0.154,-1.914,-1.013,0.027,-1.007,14,15,16,17
14_15_17_18,41.549,0.242,41.562,-0.878,0.037,-0.887,-0.106,0.004,-0.115,14,15,17,18
14_15_18_19,-40.988,0.734,-40.75,-0.511,0.052,-0.514,-0.054,0.013,-0.046,14,15,18,19
14_15_19_20,7.07,0.811,6.688,-0.308,0.086,-0.375,-0.002,0.013,-0.001,14,15,19,20
14_15_20_21,-20.168,0.351,-19.468,-0.302,0.042,-0.219,-0.027,0.005,-0.029,14,15,20,21
14_15_21_22,-8.688,0.386,-8.312,-0.035,0.122,0.021,-0.016,0.007,-0.006,14,15,21,22
15_16_17_18,41.894,0.789,42.125,-2.064,0.127,-2.053,-0.353,0.011,-0.35,15,16,17,18
15_16_18_19,-40.692,0.515,-41.125,-1.237,0.037,-1.273,-0.063,0.009,-0.073,15,16,18,19
15_16_19_20,5.758,1.372,5.469,-0.971,0.072,-0.87,-0.039,0.023,-0.04,15,16,19,20
15_16_20_21,-17.226,0.49,-17.406,-0.84,0.057,-0.868,0.002,0.006,0.017,15,16,20,21
15_16_21_22,-8.911,0.088,-9.719,-0.687,0.112,-0.639,-0.006,0.001,0.003,15,16,21,22
16_17_18_19,-38.032,0.566,-38.781,-1.862,0.043,-1.907,-0.496,0.011,-0.501,16,17,18,19
16_17_19_20,7.402,0.168,7.625,-1.182,0.086,-1.206,-0.087,0.001,-0.088,16,17,19,20
16_17_20_21,-21.546,0.153,-21.812,-0.969,0.001,-0.977,-0.037,0.001,-0.026,16,17,20,21
16_17_21_22,-6.806,0.723,-6.625,-0.875,0.046,-0.851,-0.02,0.011,-0.006,16,17,21,22
17_18_19_20,1.812,0.997,1.719,-0.211,0.226,-0.11,-0.488,0.014,-0.486,17,18,19,20
17_18_20_21,-18.51,0.916,-18.25,-0.053,0.124,0.013,-0.124,0.013,-0.128,17,18,20,21
17_18_21_22,-12.48,2.215,-10.468,-0.212,0.112,-0.171,-0.078,0.028,-0.064,17,18,21,22
18_19_20_21,-18.423,0.296,-18.625,-1.066,0.172,-1.114,-0.44,0.006,-0.455,18,19,20,21
18_19_21_22,-14.487,1.037,-14.922,-0.251,0.121,-0.276,-0.216,0.016,-0.22,18,19,21,22
19_20_21_22,-6.935,1.672,-7.0,-2.122,0.075,-2.119,-0.396,0.029,-0.379,19,20,21,22
60_61_62_64,9.388,3.81,12.688,-0.005,0.008,-0.012,101.512,1.624,101.905,60,61,62,64
