quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
25_26_27_28,99.506,0.284,98.844,-1.056,0.23,-1.707,-0.406,0.005,-0.388,25,26,27,28
25_26_28_29,196.719,0.292,196.062,-0.604,0.141,-0.971,-0.102,0.004,-0.088,25,26,28,29
25_26_29_30,-21.44,0.353,-21.532,-0.553,0.13,-0.936,-0.041,0.006,-0.033,25,26,29,30
25_26_30_31,-80.1,0.566,-79.562,-0.524,0.137,-0.939,-0.021,0.008,-0.023,25,26,30,31
25_26_31_32,-45.261,0.32,-45.719,-0.482,0.115,-0.838,-0.028,0.005,-0.024,25,26,31,32
25_26_32_33,-164.617,0.366,-164.032,-0.478,0.126,-0.832,-0.014,0.005,0.041,25,26,32,33
25_26_33_34,-66.446,0.483,-66.625,-0.502,0.122,-0.837,-0.019,0.007,-0.028,25,26,33,34
26_27_28_29,199.356,0.844,199.906,-1.244,0.287,-1.663,-0.408,0.013,-0.444,26,27,28,29
26_27_29_30,-22.55,0.309,-23.312,-0.013,0.147,-0.233,-0.076,0.004,-0.034,26,27,29,30
26_27_30_31,-77.219,0.305,-77.969,0.1,0.148,-0.146,-0.032,0.005,-0.027,26,27,30,31
26_27_31_32,-44.835,0.339,-45.062,0.119,0.152,-0.18,-0.025,0.005,-0.018,26,27,31,32
26_27_32_33,-160.258,0.683,-159.625,0.152,0.149,-0.12,-0.014,0.011,0.002,26,27,32,33
26_27_33_34,-66.95,0.261,-66.812,0.168,0.15,-0.087,-0.005,0.004,-0.001,26,27,33,34
27_28_25_26,-5.146,0.333,-6.156,-2.097,0.265,-2.828,-0.415,0.006,-0.4,27,28,25,26
27_28_29_30,-20.151,0.317,-20.219,-2.795,0.277,-3.428,-0.404,0.007,-0.423,27,28,29,30
27_28_30_31,-77.466,0.363,-77.688,-1.541,0.124,-1.875,-0.087,0.005,-0.082,27,28,30,31
27_28_31_32,-43.868,0.185,-44.781,-1.406,0.127,-1.85,-0.042,0.003,-0.06,27,28,31,32
27_28_32_33,-157.553,0.395,-156.531,-1.316,0.132,-1.742,-0.023,0.005,-0.017,27,28,32,33
27_28_33_34,-67.171,0.682,-66.25,-1.23,0.132,-1.709,0.003,0.01,0.007,27,28,33,34
