quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
36_37_38_39,-30.019,0.04,-30.25,-0.478,0.129,-0.465,-0.448,0.002,-0.46,36,37,38,39
36_37_39_40,-195.762,0.251,-195.719,-0.345,0.105,-0.312,-0.07,0.006,-0.068,36,37,39,40
36_37_40_42,205.005,0.256,205.062,-0.309,0.161,-0.29,-0.073,0.004,-0.072,36,37,40,42
36_37_42_43,-31.98,0.045,-31.75,-0.105,0.108,-0.092,-0.021,0.001,-0.02,36,37,42,43
36_37_43_44,-0.742,0.515,-0.766,-0.132,0.131,-0.117,-0.105,0.007,-0.101,36,37,43,44
36_37_44_45,-36.928,0.204,-36.625,-0.062,0.097,-0.032,0.003,0.002,0.005,36,37,44,45
36_37_45_46,-34.966,0.772,-35.125,0.013,0.086,0.025,-0.041,0.01,-0.037,36,37,45,46
37_38_39_40,-198.026,0.252,-198.156,-1.465,0.177,-1.427,-0.836,0.007,-0.825,37,38,39,40
37_38_40_42,202.784,0.443,203.0,-0.926,0.159,-0.919,-0.132,0.006,-0.13,37,38,40,42
37_38_42_43,-29.082,0.188,-29.406,-0.503,0.083,-0.476,-0.046,0.002,-0.035,37,38,42,43
37_38_43_44,-8.947,0.941,-9.062,-0.45,0.075,-0.435,0.032,0.013,0.028,37,38,43,44
37_38_44_45,-37.188,0.4,-37.281,-0.272,0.027,-0.287,0.001,0.006,-0.004,37,38,44,45
37_38_45_46,-34.8,0.116,-34.094,-0.271,0.026,-0.253,-0.003,0.002,0.002,37,38,45,46
38_39_36_37,1.906,0.188,1.719,-0.909,0.256,-0.904,-0.455,0.001,-0.452,38,39,36,37
38_39_40_42,200.152,0.077,200.188,-1.026,0.223,-1.006,-0.448,0.002,-0.446,38,39,40,42
38_39_42_43,-28.83,0.134,-29.219,-0.332,0.097,-0.304,-0.098,0.001,-0.102,38,39,42,43
38_39_43_44,-9.278,0.549,-9.438,-0.2,0.06,-0.224,-0.026,0.008,-0.024,38,39,43,44
38_39_44_45,-37.779,0.148,-37.563,-0.255,0.071,-0.259,-0.011,0.002,-0.006,38,39,44,45
38_39_45_46,-32.456,0.086,-32.781,-0.076,0.016,-0.099,0.022,0.001,0.018,38,39,45,46
39_40_36_37,-0.135,0.612,-0.344,-1.038,0.217,-1.04,-0.15,0.009,-0.142,39,40,36,37
39_40_37_38,83.642,0.307,83.375,-0.829,0.146,-0.798,-0.833,0.002,-0.834,39,40,37,38
39_40_42_43,-30.524,0.274,-29.875,-0.974,0.145,-0.962,-0.514,0.005,-0.506,39,40,42,43
39_40_43_44,-9.466,0.071,-9.438,-0.377,0.049,-0.38,-0.145,0.0,-0.148,39,40,43,44
39_40_44_45,-39.46,0.115,-39.156,-0.222,0.027,-0.213,-0.045,0.001,-0.041,39,40,44,45
39_40_45_46,-34.324,0.238,-34.656,-0.269,0.033,-0.252,-0.019,0.003,-0.017,39,40,45,46
40_42_36_37,-1.534,0.157,-1.75,-1.859,0.185,-1.862,-0.009,0.001,-0.007,40,42,36,37
40_42_37_38,76.69,0.905,77.0,-1.819,0.175,-1.832,-0.117,0.012,-0.122,40,42,37,38
40_42_38_39,-3.178,0.675,-3.438,-1.544,0.104,-1.541,-0.44,0.008,-0.435,40,42,38,39
40_42_43_44,-6.769,0.36,-7.188,-2.022,0.208,-2.017,-0.836,0.004,-0.842,40,42,43,44
40_42_44_45,-37.758,0.174,-37.938,-0.994,0.093,-0.982,-0.136,0.002,-0.13,40,42,44,45
40_42_45_46,-34.742,0.258,-34.469,-0.922,0.093,-0.941,-0.047,0.005,-0.057,40,42,45,46
42_43_36_37,-1.454,0.053,-1.75,-1.525,0.313,-1.506,-0.019,0.003,-0.019,42,43,36,37
42_43_37_38,72.428,0.185,72.125,-1.533,0.291,-1.53,-0.041,0.003,-0.042,42,43,37,38
42_43_38_39,-7.613,0.171,-8.125,-1.444,0.305,-1.442,-0.101,0.001,-0.1,42,43,38,39
42_43_39_40,-5.565,0.622,-5.5,-0.946,0.287,-0.93,-0.501,0.006,-0.491,42,43,39,40
42_43_44_45,-37.721,0.11,-37.937,-1.566,0.288,-1.518,-0.55,0.002,-0.554,42,43,44,45
42_43_45_46,-32.745,0.376,-32.875,-0.175,0.08,-0.165,-0.091,0.01,-0.091,42,43,45,46
43_44_36_37,-0.748,0.46,-0.718,-1.157,0.06,-1.168,0.02,0.008,0.012,43,44,36,37
43_44_37_38,70.192,0.375,70.156,-1.609,0.197,-1.571,0.012,0.006,0.013,43,44,37,38
43_44_38_39,-9.935,0.464,-9.718,-1.645,0.23,-1.613,-0.06,0.006,-0.061,43,44,38,39
43_44_39_40,-19.663,0.231,-19.938,-1.431,0.208,-1.412,-0.148,0.002,-0.144,43,44,39,40
43_44_40_42,78.781,0.342,78.406,-0.846,0.149,-0.838,-0.844,0.001,-0.83,43,44,40,42
43_44_45_46,-31.094,0.704,-30.812,-1.547,0.216,-1.543,-0.524,0.012,-0.521,43,44,45,46
44_45_36_37,-1.462,0.667,-1.094,-1.388,0.234,-1.376,-0.004,0.011,0.004,44,45,36,37
44_45_37_38,67.308,0.152,67.25,-1.522,0.27,-1.526,-0.028,0.003,-0.031,44,45,37,38
44_45_38_39,-12.928,0.239,-13.375,-1.437,0.156,-1.477,-0.013,0.003,-0.02,44,45,38,39
44_45_39_40,-21.222,1.445,-22.094,-1.431,0.129,-1.442,-0.048,0.037,-0.064,44,45,39,40
44_45_40_42,84.666,0.306,84.968,-1.215,0.175,-1.202,-0.114,0.002,-0.116,44,45,40,42
44_45_42_43,1.936,0.672,2.0,-0.651,0.149,-0.656,-0.586,0.013,-0.593,44,45,42,43
45_46_36_37,-2.81,0.399,-2.781,-1.44,0.173,-1.444,-0.011,0.006,-0.011,45,46,36,37
45_46_37_38,65.144,0.387,65.0,-1.163,0.038,-1.163,0.01,0.01,0.001,45,46,37,38
45_46_38_39,-13.584,0.304,-13.093,-0.842,0.016,-0.87,-0.021,0.011,-0.032,45,46,38,39
45_46_39_40,-26.608,0.301,-26.875,-0.841,0.029,-0.834,0.021,0.011,0.026,45,46,39,40
45_46_40_42,77.512,0.022,77.375,-1.084,0.021,-1.097,-0.03,0.001,-0.024,45,46,40,42
45_46_42_43,-3.416,0.211,-3.438,-0.898,0.031,-0.904,-0.044,0.008,-0.056,45,46,42,43
45_46_43_44,83.577,0.403,83.938,-0.448,0.029,-0.448,-0.524,0.011,-0.52,45,46,43,44
60_61_62_64,-6.351,1.353,-6.719,-0.003,0.001,-0.004,102.805,0.347,102.652,60,61,62,64
62_64_60_61,-7.721,0.939,-7.094,0.002,0.0,0.003,102.032,0.334,102.177,62,64,60,61
