quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
49_50_51_52,0.363,0.369,1.156,-0.845,0.163,-1.139,-0.003,0.006,-0.02,49,50,51,52
49_50_52_53,182.799,0.478,182.0,0.312,0.03,0.302,-0.397,0.011,-0.341,49,50,52,53
49_50_53_54,7287.625,0.0,7287.625,0.502,0.022,0.41,0.0,0.0,0.0,49,50,53,54
49_50_54_56,7287.625,0.0,7287.625,0.167,0.04,0.127,0.0,0.0,0.0,49,50,54,56
49_50_56_57,121.016,0.703,121.438,-0.411,0.123,-0.643,-0.007,0.013,-0.012,49,50,56,57
49_50_57_58,92.238,0.615,92.844,0.092,0.04,-0.03,-0.033,0.015,-0.028,49,50,57,58
49_50_58_59,-2.175,0.626,-1.75,-0.647,0.122,-0.898,-0.015,0.008,-0.007,49,50,58,59
50_51_52_53,326.861,4.636,327.407,-0.481,0.238,-0.675,-48.114,0.172,-48.278,50,51,52,53
50_51_53_54,7287.625,0.0,7287.625,0.018,0.029,-0.13,0.0,0.0,0.0,50,51,53,54
50_51_54_56,7287.625,0.0,7287.625,-0.233,0.034,-0.268,0.0,0.0,0.0,50,51,54,56
50_51_56_57,124.85,1.607,125.844,0.085,0.211,-0.165,-0.035,0.025,-0.03,50,51,56,57
50_51_57_58,91.215,1.147,90.406,0.248,0.135,0.099,-0.043,0.02,-0.046,50,51,57,58
50_51_58_59,1.067,0.404,1.344,0.274,0.16,0.096,-0.029,0.007,-0.052,50,51,58,59
51_52_49_50,20.216,0.298,19.625,0.0,0.0,0.0,0.121,0.058,0.072,51,52,49,50
51_52_53_54,7287.625,0.0,7287.625,-0.047,0.158,0.182,0.0,0.0,0.0,51,52,53,54
51_52_54_56,7237.098,233.405,7287.625,0.098,0.13,-0.192,-0.555,2.565,0.0,51,52,54,56
51_52_56_57,129.057,0.27,129.218,0.0,0.0,0.0,0.025,0.007,-0.002,51,52,56,57
51_52_57_58,89.555,0.338,89.094,0.011,0.149,-0.116,0.023,0.004,0.032,51,52,57,58
51_52_58_59,3.209,0.597,3.688,-0.071,0.235,-0.182,0.032,0.006,0.028,51,52,58,59
52_53_49_50,20.552,1.334,20.75,-0.358,0.115,-0.724,-0.507,0.023,-0.52,52,53,49,50
