quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
1_4_2_3,26.476,0.26,27.5,-0.622,0.063,-0.838,1.416,0.022,1.598,1,4,2,3
2_3_1_4,27.941,0.384,28.062,-0.869,0.13,-1.005,1.31,0.015,1.296,2,3,1,4
2_5_3_4,-412.249,1.084,-417.062,-1.229,0.143,-1.579,1.075,0.02,1.1,2,5,3,4
3_4_2_5,-223.867,0.589,-228.718,-0.977,0.246,-1.465,1.091,0.018,1.082,3,4,2,5
3_6_4_5,-140.987,0.96,-143.594,-0.903,0.191,-1.402,1.181,0.016,1.185,3,6,4,5
4_5_3_6,-574.099,0.46,-579.344,-1.637,0.152,-2.025,1.219,0.005,1.222,4,5,3,6
4_7_5_6,-104.45,0.426,-106.844,-1.089,0.158,-1.422,1.352,0.007,1.356,4,7,5,6
5_6_4_7,-437.14,0.341,-440.312,-0.674,0.176,-0.908,1.399,0.006,1.432,5,6,4,7
5_9_6_7,-38.344,0.558,-40.188,-0.582,0.084,-0.833,1.538,0.021,1.542,5,9,6,7
60_61_62_64,13.515,0.669,14.187,-0.002,0.006,-0.005,100.004,0.898,98.23,60,61,62,64
62_64_60_61,11.872,0.837,12.218,-0.005,0.009,-0.007,100.144,0.973,100.372,62,64,60,61
6_10_7_9,-25.538,0.344,-29.219,-0.556,0.045,-0.719,1.952,0.016,1.927,6,10,7,9
6_7_5_9,-649.772,0.34,-652.468,-1.051,0.153,-1.346,1.542,0.008,1.539,6,7,5,9
7_11_9_10,-26.931,0.214,-30.812,-0.627,0.046,-0.784,1.659,0.014,1.699,7,11,9,10
7_9_6_10,-494.422,0.436,-497.688,-0.677,0.06,-0.835,1.99,0.019,1.999,7,9,6,10
9_10_7_11,-256.868,0.6,-258.531,-0.44,0.031,-0.537,1.572,0.043,1.566,9,10,7,11
