quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
13_16_14_15,12.849,0.497,13.532,0.082,0.037,0.024,2.152,0.083,2.248,13,16,14,15
14_15_13_16,68.342,0.373,68.094,-0.302,0.068,-0.46,2.036,0.012,2.023,14,15,13,16
14_17_15_16,-219.058,0.938,-221.219,-0.679,0.061,-0.773,0.996,0.039,0.956,14,17,15,16
15_16_14_17,-104.832,0.376,-102.344,-0.418,0.068,-0.468,1.019,0.028,1.066,15,16,14,17
15_18_16_17,-175.996,0.754,-176.5,-0.52,0.121,-0.585,2.02,0.024,1.997,15,18,16,17
16_17_15_18,-66.405,0.458,-69.625,-0.453,0.082,-0.478,2.07,0.04,2.06,16,17,15,18
16_19_17_18,-6.842,0.887,-9.25,-0.362,0.069,-0.395,1.205,0.054,1.158,16,19,17,18
17_18_16_19,-14.236,0.305,-18.25,-0.47,0.144,-0.513,1.218,0.013,1.244,17,18,16,19
17_20_18_19,14.436,0.399,10.532,-0.462,0.086,-0.482,1.155,0.019,1.164,17,20,18,19
18_19_17_20,-494.657,1.011,-496.562,-0.564,0.093,-0.686,1.167,0.045,1.112,18,19,17,20
18_21_19_20,-27.356,0.53,-29.875,-0.519,0.054,-0.604,1.16,0.027,1.106,18,21,19,20
19_20_18_21,-442.871,0.737,-448.75,-0.409,0.059,-0.475,1.136,0.036,1.048,19,20,18,21
19_22_20_21,-28.953,0.427,-29.218,-0.127,0.071,-0.219,1.158,0.018,1.112,19,22,20,21
20_21_19_22,-616.14,0.439,-619.188,-0.363,0.034,-0.373,1.152,0.023,1.15,20,21,19,22
60_61_62_64,22.679,0.916,22.062,-0.002,0.009,-0.002,100.746,0.338,103.717,60,61,62,64
62_64_60_61,19.194,1.125,17.282,-0.004,0.011,0.003,98.531,1.429,97.282,62,64,60,61
