quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
25_28_26_27,-91.178,0.426,-91.938,-0.064,0.135,-0.231,2.942,0.014,2.942,25,28,26,27
26_27_25_28,-227.371,0.449,-227.406,-0.281,0.074,-0.465,2.962,0.024,2.896,26,27,25,28
26_29_27_28,-368.735,0.241,-372.438,-0.406,0.063,-0.575,2.652,0.021,2.642,26,29,27,28
27_28_26_29,-147.698,0.433,-153.906,-0.478,0.186,-0.619,2.633,0.014,2.628,27,28,26,29
27_30_28_29,0.689,0.272,-2.594,-0.595,0.042,-0.803,2.839,0.044,2.726,27,30,28,29
28_29_27_30,-112.939,0.365,-119.875,-1.223,0.105,-1.467,2.999,0.019,3.046,28,29,27,30
28_31_29_30,50.288,0.402,51.125,-0.477,0.034,-0.582,3.162,0.112,2.894,28,31,29,30
29_30_28_31,-17.701,0.663,-22.094,-1.121,0.15,-1.255,3.056,0.007,3.055,29,30,28,31
29_32_30_31,-140.859,0.245,-143.969,-0.279,0.107,-0.419,2.081,0.011,2.077,29,32,30,31
30_31_29_32,-638.511,0.194,-643.282,0.163,0.061,0.203,2.063,0.008,2.069,30,31,29,32
30_33_31_32,-174.828,0.28,-177.25,-0.252,0.076,-0.435,3.536,0.014,3.51,30,33,31,32
31_32_30_33,-646.821,0.547,-651.718,0.082,0.016,0.065,3.552,0.019,3.458,31,32,30,33
31_34_32_33,-29.352,0.331,-30.25,-0.186,0.071,-0.35,2.041,0.015,2.053,31,34,32,33
32_33_31_34,-674.8,0.265,-678.625,-0.562,0.04,-0.657,2.137,0.009,2.148,32,33,31,34
60_61_62_64,-3.614,0.631,-3.438,-0.002,0.005,-0.003,204.027,1.345,204.302,60,61,62,64
62_64_60_61,-4.067,0.389,-3.719,0.001,0.016,0.005,202.921,2.901,201.314,62,64,60,61
