quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
36_39_37_38,22.957,0.339,22.812,-0.587,0.113,-0.565,2.045,0.013,2.044,36,39,37,38
37_38_36_39,-25.973,0.225,-26.312,-0.811,0.223,-0.782,2.06,0.003,2.054,37,38,36,39
37_40_38_39,-372.185,0.153,-372.344,-0.637,0.098,-0.639,1.32,0.01,1.328,37,40,38,39
38_39_37_40,-201.005,0.173,-201.156,-1.117,0.231,-1.125,1.278,0.002,1.276,38,39,37,40
38_42_39_40,-154.36,0.082,-154.188,-1.695,0.127,-1.66,1.868,0.001,1.861,38,42,39,40
39_40_38_42,-237.82,0.181,-238.0,-1.168,0.214,-1.17,1.876,0.0,1.874,39,40,38,42
39_43_40_42,42.969,0.297,43.437,-1.516,0.104,-1.496,1.676,0.004,1.683,39,43,40,42
40_42_39_43,-255.43,0.309,-255.438,-2.003,0.115,-2.006,1.783,0.005,1.775,40,42,39,43
40_44_42_43,-89.89,0.552,-90.438,-1.442,0.103,-1.446,1.519,0.004,1.516,40,44,42,43
42_43_40_44,-391.13,0.886,-391.188,-1.154,0.225,-1.152,1.504,0.006,1.506,42,43,40,44
42_45_43_44,-38.248,0.218,-37.938,-0.544,0.235,-0.536,1.866,0.006,1.878,42,45,43,44
43_44_42_45,-388.332,0.648,-388.656,-1.033,0.129,-1.014,1.851,0.008,1.842,43,44,42,45
43_46_44_45,-77.89,0.576,-77.781,-0.4,0.127,-0.398,1.639,0.025,1.642,43,46,44,45
44_45_43_46,-377.327,0.389,-377.594,-1.026,0.074,-1.043,1.658,0.011,1.656,44,45,43,46
60_61_62_64,-5.522,1.082,-6.156,0.0,0.0,-0.003,101.738,0.43,101.656,60,61,62,64
62_64_60_61,-7.93,0.996,-7.281,0.002,0.004,0.002,104.74,0.209,104.72,62,64,60,61
