quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
49_52_50_51,-54.864,1.021,-54.438,0.034,0.005,0.044,124.532,1.757,124.777,49,52,50,51
50_51_49_52,51.392,0.156,51.688,0.261,0.011,0.235,86.435,1.357,88.574,50,51,49,52
50_53_51_52,0.834,0.27,0.875,-0.279,0.138,-0.66,0.006,0.004,0.001,50,53,51,52
51_52_50_53,-160.234,0.487,-159.156,-0.097,0.038,-0.002,0.003,0.005,-0.002,51,52,50,53
51_54_52_53,-331.562,0.442,-329.406,0.007,0.004,0.005,3.419,1.415,7.482,51,54,52,53
52_53_51_54,7287.625,0.0,7287.625,0.118,0.006,0.095,0.0,0.0,0.0,52,53,51,54
52_56_53_54,7024.743,818.169,7287.625,0.154,0.007,0.126,-97.138,307.905,0.0,52,56,53,54
53_54_52_56,95.532,0.494,95.188,0.003,0.002,0.002,5.076,1.809,-2.488,53,54,52,56
53_57_54_56,7266.469,135.05,7287.625,-0.132,0.006,-0.167,15.531,99.79,0.0,53,57,54,56
54_56_53_57,-89.621,1.987,-89.875,-0.006,0.003,-0.003,1.551,7.795,-0.077,54,56,53,57
54_58_56_57,-123.488,0.329,-121.188,-0.004,0.003,-0.004,3.915,1.336,23.51,54,58,56,57
56_57_54_58,4593.742,2129.081,7287.625,0.237,0.003,0.201,-857.997,697.275,0.0,56,57,54,58
56_59_57_58,234.803,0.679,235.531,-1.01,0.173,-1.148,2.098,0.008,2.105,56,59,57,58
57_58_56_59,-470.104,2.489,-471.906,-1.176,0.111,-1.491,2.08,0.074,2.116,57,58,56,59
60_61_62_64,14.311,1.442,13.812,-0.006,0.001,-0.007,97.114,1.369,97.828,60,61,62,64
62_64_60_61,15.133,0.849,15.313,-0.002,0.003,-0.001,102.132,0.855,101.038,62,64,60,61
