a,b,m,n,injection_id,channel_mn,time,current,voltage,polarity
60,61,62,64,1,0,0.010,0.242,32.562,0
60,61,62,64,1,0,0.019,0.242,13.625,0
60,61,62,64,1,0,0.021,0.239,14.375,0
60,61,62,64,1,0,0.026,0.242,21.875,0
60,61,62,64,1,0,0.031,0.242,21.875,0
60,61,62,64,1,0,0.036,0.242,28.062,0
60,61,62,64,1,0,0.041,0.242,28.812,0
60,61,62,64,1,0,0.046,0.242,26.000,0
60,61,62,64,1,0,0.051,0.242,23.562,0
60,61,62,64,1,0,0.056,0.242,19.062,0
60,61,62,64,1,0,0.061,0.242,32.750,0
60,61,62,64,1,0,0.066,0.242,11.000,0
60,61,62,64,1,0,0.071,0.242,30.875,0
60,61,62,64,1,0,0.076,0.242,22.625,0
60,61,62,64,1,0,0.081,0.242,22.062,0
60,61,62,64,1,0,0.086,0.242,21.688,0
60,61,62,64,1,0,0.091,0.242,18.312,0
60,61,62,64,1,0,0.096,0.241,19.062,0
60,61,62,64,1,0,0.101,0.242,27.688,0
60,61,62,64,1,0,0.106,0.242,28.625,0
60,61,62,64,1,0,0.111,0.242,21.125,0
60,61,62,64,1,0,0.116,0.242,21.875,0
60,61,62,64,1,0,0.121,0.242,17.188,0
60,61,62,64,1,0,0.126,0.242,32.750,0
60,61,62,64,1,0,0.131,0.242,26.000,0
60,61,62,64,1,0,0.136,0.242,20.375,0
60,61,62,64,1,0,0.141,0.242,25.438,0
60,61,62,64,1,0,0.146,0.242,20.562,0
60,61,62,64,1,0,0.151,0.242,12.312,0
60,61,62,64,1,0,0.156,0.242,17.375,0
60,61,62,64,1,0,0.161,0.242,30.688,0
60,61,62,64,1,0,0.166,0.242,29.562,0
60,61,62,64,1,0,0.171,0.242,23.750,0
60,61,62,64,1,0,0.176,0.242,24.125,0
60,61,62,64,1,0,0.181,0.242,21.125,0
60,61,62,64,1,0,0.186,0.242,18.875,0
60,61,62,64,1,0,0.191,0.242,11.000,0
60,61,62,64,1,0,0.196,0.242,23.938,0
60,61,62,64,1,0,0.221,1.060,96.688,1
60,61,62,64,1,0,0.226,1.033,96.313,1
60,61,62,64,1,0,0.231,1.005,95.562,1
60,61,62,64,1,0,0.236,1.016,98.750,1
60,61,62,64,1,0,0.241,1.026,98.938,1
60,61,62,64,1,0,0.246,1.030,107.938,1
60,61,62,64,1,0,0.251,1.025,92.000,1
60,61,62,64,1,0,0.256,1.019,96.313,1
60,61,62,64,1,0,0.261,1.020,103.625,1
60,61,62,64,1,0,0.266,1.033,105.125,1
60,61,62,64,1,0,0.271,1.030,98.750,1
60,61,62,64,1,0,0.276,1.015,108.500,1
60,61,62,64,1,0,0.281,1.021,87.688,1
60,61,62,64,1,0,0.286,1.019,104.750,1
60,61,62,64,1,0,0.291,1.021,98.000,1
60,61,62,64,1,0,0.296,1.012,92.562,1
60,61,62,64,1,0,0.301,1.009,95.750,1
60,61,62,64,1,0,0.306,1.012,88.250,1
60,61,62,64,1,0,0.311,1.019,107.938,1
60,61,62,64,1,0,0.316,1.012,95.750,1
60,61,62,64,1,0,0.321,1.015,92.938,1
60,61,62,64,1,0,0.326,1.014,102.688,1
60,61,62,64,1,0,0.331,1.023,98.375,1
60,61,62,64,1,0,0.336,1.025,101.562,1
60,61,62,64,1,0,0.341,1.022,104.000,1
60,61,62,64,1,0,0.346,1.000,104.938,1
60,61,62,64,1,0,0.351,1.005,105.500,1
60,61,62,64,1,0,0.356,1.007,102.500,1
60,61,62,64,1,0,0.361,1.027,98.562,1
60,61,62,64,1,0,0.366,1.024,106.062,1
60,61,62,64,1,0,0.371,1.034,103.625,1
60,61,62,64,1,0,0.376,1.031,96.688,1
60,61,62,64,1,0,0.381,1.012,106.250,1
60,61,62,64,1,0,0.386,1.029,104.750,1
60,61,62,64,1,0,0.391,1.030,101.562,1
60,61,62,64,1,0,0.396,1.027,99.125,1
60,61,62,64,1,0,0.401,1.018,102.312,1
60,61,62,64,1,0,0.406,1.018,101.938,1
60,61,62,64,1,0,0.411,1.013,103.062,1
60,61,62,64,1,0,0.416,1.020,107.188,1
60,61,62,64,1,0,0.421,1.005,104.188,1
60,61,62,64,1,0,0.426,1.022,96.313,1
60,61,62,64,1,0,0.431,1.033,95.188,1
60,61,62,64,1,0,0.436,0.997,101.188,1
60,61,62,64,1,0,0.441,1.016,89.000,1
60,61,62,64,1,0,0.446,1.028,94.250,1
60,61,62,64,1,0,0.451,1.012,100.812,1
60,61,62,64,1,0,0.456,1.033,108.313,1
60,61,62,64,1,0,0.461,1.019,112.812,1
60,61,62,64,1,0,0.466,1.015,107.938,1
60,61,62,64,1,0,0.471,1.025,100.625,1
60,61,62,64,1,0,0.476,1.027,102.875,1
60,61,62,64,1,0,0.481,1.038,93.500,1
60,61,62,64,1,0,0.486,1.011,111.312,1
60,61,62,64,1,0,0.491,1.011,99.875,1
60,61,62,64,1,0,0.496,1.035,101.375,1
60,61,62,64,1,0,0.501,1.026,100.062,1
60,61,62,64,1,0,0.506,1.019,102.500,1
60,61,62,64,1,0,0.511,1.022,105.875,1
60,61,62,64,1,0,0.516,1.014,99.875,1
60,61,62,64,1,0,0.521,1.028,99.500,1
60,61,62,64,1,0,0.526,1.028,98.750,1
60,61,62,64,1,0,0.531,1.024,96.500,1
60,61,62,64,1,0,0.536,1.023,99.312,1
60,61,62,64,1,0,0.541,1.031,96.500,1
60,61,62,64,1,0,0.546,1.021,101.000,1
60,61,62,64,1,0,0.551,1.029,112.438,1
60,61,62,64,1,0,0.556,1.012,99.875,1
60,61,62,64,1,0,0.561,1.021,93.500,1
60,61,62,64,1,0,0.566,1.023,87.312,1
60,61,62,64,1,0,0.571,1.004,103.062,1
60,61,62,64,1,0,0.576,1.023,96.125,1
60,61,62,64,1,0,0.581,1.018,106.625,1
60,61,62,64,1,0,0.586,1.018,98.000,1
60,61,62,64,1,0,0.591,1.017,95.000,1
60,61,62,64,1,0,0.596,1.016,99.125,1
60,61,62,64,1,0,0.601,1.022,104.750,1
60,61,62,64,1,0,0.606,1.029,101.562,1
60,61,62,64,1,0,0.611,1.013,98.938,1
60,61,62,64,1,0,0.616,1.020,103.062,1
60,61,62,64,1,0,0.621,1.016,97.625,1
60,61,62,64,1,0,0.626,1.015,107.938,1
60,61,62,64,1,0,0.631,1.024,98.375,1
