Electrode,X,Y,Z
1,0.0,0.0,0.0
2,0.0,1.0,0.0
3,0.0,2.0,0.0
4,0.0,3.0,0.0
5,0.0,4.0,0.0
6,0.0,5.0,0.0
7,0.0,6.0,0.0
8,0.0,7.0,0.0
9,0.0,8.0,0.0
10,0.0,9.0,0.0
11,1.0,0.0,0.0
12,1.0,1.0,0.0
13,1.0,2.0,0.0
14,1.0,3.0,0.0
15,1.0,4.0,0.0
16,1.0,5.0,0.0
17,1.0,6.0,0.0
18,1.0,7.0,0.0
19,1.0,8.0,0.0
20,1.0,9.0,0.0
21,2.0,0.0,0.0
22,2.0,1.0,0.0
23,2.0,2.0,0.0
24,2.0,3.0,0.0
25,2.0,4.0,0.0
26,2.0,5.0,0.0
27,2.0,6.0,0.0
28,2.0,7.0,0.0
29,2.0,8.0,0.0
30,2.0,9.0,0.0
31,3.0,0.0,0.0
32,3.0,1.0,0.0
33,3.0,2.0,0.0
34,3.0,3.0,0.0
35,3.0,4.0,0.0
36,3.0,5.0,0.0
37,3.0,6.0,0.0
38,3.0,7.0,0.0
39,3.0,8.0,0.0
40,3.0,9.0,0.0
41,4.0,0.0,0.0
42,4.0,1.0,0.0
43,4.0,2.0,0.0
44,4.0,3.0,0.0
45,4.0,4.0,0.0
46,4.0,5.0,0.0
47,4.0,6.0,0.0
48,4.0,7.0,0.0
49,4.0,8.0,0.0
50,4.0,9.0,0.0
51,5.0,0.0,0.0
52,5.0,1.0,0.0
53,5.0,2.0,0.0
54,5.0,3.0,0.0
55,5.0,4.0,0.0
56,5.0,5.0,0.0
57,5.0,6.0,0.0
58,5.0,7.0,0.0
59,5.0,8.0,0.0
60,5.0,9.0,0.0
