quadropole,mean voltage,std voltage,median voltage,mean current,std current,median current,mean resistance,std resistance,median resistance,a,b,m,n
36_39_37_38,-73.285,0.454,-74.218,-0.359,0.231,-0.778,1.364,0.008,1.362,36,39,37,38
37_38_36_39,29.193,0.522,29.281,0.057,0.089,-0.022,1.391,0.037,1.37,37,38,36,39
37_40_38_39,-525.762,0.765,-534.531,-2.001,0.152,-2.528,1.08,0.01,1.084,37,40,38,39
38_39_37_40,-59.716,1.554,-59.594,-1.227,0.341,-1.911,1.081,0.021,1.051,38,39,37,40
38_42_39_40,46.66,0.725,47.0,-1.196,0.129,-1.486,1.361,0.039,1.417,38,42,39,40
39_40_38_42,-7.919,0.622,-18.156,-2.636,0.301,-3.401,1.314,0.012,1.302,39,40,38,42
39_43_40_42,162.626,0.602,154.532,-2.866,0.255,-3.546,1.451,0.01,1.443,39,43,40,42
40_42_39_43,-36.109,1.261,-44.5,-2.877,0.529,-3.341,1.473,0.012,1.487,40,42,39,43
40_44_42_43,-250.654,0.743,-253.375,-2.956,0.381,-3.655,1.222,0.012,1.226,40,44,42,43
42_43_40_44,-389.594,0.415,-394.0,-1.393,0.384,-1.899,1.197,0.005,1.194,42,43,40,44
42_45_43_44,0.257,0.575,-7.281,-0.857,0.232,-1.436,1.445,0.009,1.45,42,45,43,44
43_44_42_45,-605.421,0.604,-608.313,-1.529,0.177,-2.233,1.426,0.006,1.408,43,44,42,45
43_46_44_45,-125.26,0.409,-129.25,0.04,0.181,-0.501,1.458,0.005,1.471,43,46,44,45
44_45_43_46,-800.27,0.697,-804.812,-0.474,0.252,-0.997,1.402,0.009,1.404,44,45,43,46
60_61_62_64,0.397,0.86,1.625,0.003,0.019,0.004,100.7,1.646,99.681,60,61,62,64
62_64_60_61,3.19,1.228,5.093,0.001,0.016,-0.004,103.66,1.345,101.748,62,64,60,61
