event,event_start,sensor_id,treatment,location,tag,depth_cm,baseline_vwc,peak_vwc,delta_vwc,t_to_peak_h,mean_dvdt_per_h,peak_time,responded
0,1.7175024e+18,SMS01,swale,SwB,slope,10,0.28409963500000013,0.2958724,0.011772764999999852,6.5,0.0018111946153845926,1.7175258e+18,true
1,1.7177103e+18,SMS01,swale,SwB,slope,10,0.28737738999999995,0.29214856,0.004771170000000047,20.916666666666668,0.00022810374501992255,1.7177856e+18,false
2,1.7190819e+18,SMS01,swale,SwB,slope,10,0.309429505,0.3148795,0.005449994999999985,23.0,0.00023695630434782545,1.7191647e+18,true
3,1.7191647e+18,SMS01,swale,SwB,slope,10,0.313735195,0.32058163,0.006846434999999984,24.0,0.0002852681249999993,1.7192511e+18,true
4,1.7202123e+18,SMS01,swale,SwB,slope,10,0.34680367,0.4037473899999999,0.056943719999999864,21.833333333333332,0.002608109312977093,1.7202909e+18,true
5,1.7228331e+18,SMS01,swale,SwB,slope,10,0.38330506000000003,0.3852833499999999,0.0019782899999998826,13.75,0.00014387563636362782,1.7228826e+18,false
6,1.7229834e+18,SMS01,swale,SwB,slope,10,0.38848352500000005,0.40925557,0.02077204499999996,19.833333333333332,0.001047329999999998,1.7230548e+18,true
7,1.723077e+18,SMS01,swale,SwB,slope,10,0.405745075,0.4363697799999999,0.030624704999999863,21.5,0.001424404883720924,1.7231544e+18,true
8,1.7231418e+18,SMS01,swale,SwB,slope,10,0.4244224599999999,0.4419167500000001,0.01749429000000019,22.75,0.0007689797802197886,1.7232237e+18,true
9,1.7232363e+18,SMS01,swale,SwB,slope,10,0.43968632500000004,0.4921110100000001,0.05242468500000008,1.9166666666666667,0.027352009565217432,1.7232432e+18,true
10,1.7233407e+18,SMS01,swale,SwB,slope,10,0.46224271000000006,0.4731426999999999,0.01089998999999986,1.5833333333333333,0.006884204210526227,1.7233464e+18,true
11,1.7253117e+18,SMS01,swale,SwB,slope,10,0.4347405999999999,0.4399772500000001,0.005236650000000176,20.166666666666668,0.000259668595041331,1.7253843e+18,true
12,1.7255781e+18,SMS01,swale,SwB,slope,10,0.43638917499999996,0.44951959,0.013130415000000062,18.166666666666668,0.0007227751376146823,1.7256435e+18,true
13,1.7279928e+18,SMS01,swale,SwB,slope,10,0.425431,0.42601285,0.0005818499999999949,19.333333333333332,0.000030095689655172152,1.7280624e+18,false
14,1.728558e+18,SMS01,swale,SwB,slope,10,0.41879791,0.4294651600000001,0.010667250000000128,7.166666666666667,0.0014884534883721108,1.7285838e+18,true
15,1.7286273e+18,SMS01,swale,SwB,slope,10,0.4240345599999999,0.4382704900000001,0.01423593000000023,10.916666666666666,0.0013040546564885708,1.7286666e+18,true
16,1.7287227e+18,SMS01,swale,SwB,slope,10,0.42799114,0.4390075,0.011016360000000003,21.583333333333332,0.0005104105019305021,1.7288004e+18,true
17,1.7287812e+18,SMS01,swale,SwB,slope,10,0.4351866849999999,0.44692066,0.011733975000000119,15.0,0.0007822650000000079,1.7288352e+18,true
18,1.728882e+18,SMS01,swale,SwB,slope,10,0.437320135,0.46356157,0.02624143499999998,16.75,0.0015666528358208942,1.7289423e+18,true
19,1.728927e+18,SMS01,swale,SwB,slope,10,0.4528555299999999,0.4644537399999999,0.011598209999999998,23.916666666666668,0.00048494257839721243,1.7290131e+18,true
20,1.7289927e+18,SMS01,swale,SwB,slope,10,0.4534761700000001,0.4645313200000001,0.011055149999999958,6.0,0.001842524999999993,1.7290143e+18,true
21,1.7293176e+18,SMS01,swale,SwB,slope,10,0.439453585,0.45460108,0.01514749500000001,11.083333333333334,0.0013666912781954896,1.7293575e+18,true
22,1.7303526e+18,SMS01,swale,SwB,slope,10,0.427700215,0.43916266,0.011462444999999988,0.5,0.022924889999999976,1.7303544e+18,true
23,1.7304471e+18,SMS01,swale,SwB,slope,10,0.427777795,0.44226586,0.014488064999999994,8.833333333333334,0.0016401583018867917,1.7304789e+18,true
24,1.7305146e+18,SMS01,swale,SwB,slope,10,0.435031525,0.44370109,0.008669565000000046,14.333333333333334,0.0006048533720930265,1.7305662e+18,true
25,1.7305929e+18,SMS01,swale,SwB,slope,10,0.43761105999999994,0.4426149700000002,0.005003910000000278,16.75,0.00029874089552240463,1.7306532e+18,true
26,1.7314542e+18,SMS01,swale,SwB,slope,10,0.42616801,0.46813879,0.04197078000000004,13.166666666666666,0.0031876541772151933,1.7315016e+18,true
27,1.7315361e+18,SMS01,swale,SwB,slope,10,0.457335775,0.4623590799999999,0.005023304999999922,4.083333333333333,0.0012301971428571238,1.7315508e+18,true
28,1.7315775e+18,SMS01,swale,SwB,slope,10,0.456482395,0.4692637,0.01278130500000002,18.5,0.0006908813513513525,1.7316441e+18,true
29,1.7316243e+18,SMS01,swale,SwB,slope,10,0.45593933499999995,0.4692637,0.01332436500000006,5.5,0.002422611818181829,1.7316441e+18,true
30,1.7316954e+18,SMS01,swale,SwB,slope,10,0.46171904499999994,0.46251424,0.0007951950000000818,0.9166666666666666,0.0008674854545455439,1.7316987e+18,false
31,1.7318088e+18,SMS01,swale,SwB,slope,10,0.45749093499999993,0.4615057,0.004014765000000087,4.083333333333333,0.000983207755102062,1.7318235e+18,false
32,1.7326116e+18,SMS01,swale,SwB,slope,10,0.42793295500000006,0.4750434100000001,0.04711045500000005,21.0,0.0022433550000000024,1.7326872e+18,true
33,1.7329545e+18,SMS01,swale,SwB,slope,10,0.4420719100000001,0.4668587200000001,0.024786809999999992,23.25,0.0010660993548387095,1.7330382e+18,true
34,1.7339076e+18,SMS01,swale,SwB,slope,10,0.42768082,0.4682163700000002,0.0405355500000002,22.25,0.0018218224719101213,1.7339877e+18,true
35,1.7339751e+18,SMS01,swale,SwB,slope,10,0.455124745,0.4716686799999998,0.016543934999999788,15.833333333333334,0.0010448801052631445,1.7340321e+18,true
