event,event_start,location,treatment,sensor_10,sensor_40,onset_10_h,onset_40_h,onset_lag_h,peak_10_h,peak_40_h,peak_lag_h,responded_40
0,1.7175024e+18,ConG,control,SMS11,SMS12,1.8333333333333333,NaN,NaN,58.833333333333336,14.75,-44.083333333333336,false
1,1.7177103e+18,ConG,control,SMS11,SMS12,0.6666666666666666,43.416666666666664,42.75,1.0833333333333333,72.0,70.91666666666667,true
2,1.7190819e+18,ConG,control,SMS11,SMS12,0.5,5.666666666666667,5.166666666666667,22.916666666666668,57.0,34.08333333333333,true
3,1.7191647e+18,ConG,control,SMS11,SMS12,0.0,2.75,2.75,0.0,34.0,34.0,true
4,1.7202123e+18,ConG,control,SMS11,SMS12,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,6.5,6.166666666666667,true
5,1.7228331e+18,ConG,control,SMS11,SMS12,0.0,56.666666666666664,56.666666666666664,68.16666666666667,72.0,3.8333333333333286,true
6,1.7229834e+18,ConG,control,SMS11,SMS12,0.6666666666666666,6.916666666666667,6.25,44.5,72.0,27.5,true
7,1.723077e+18,ConG,control,SMS11,SMS12,0.25,1.1666666666666667,0.9166666666666667,18.5,47.083333333333336,28.583333333333336,true
8,1.7231418e+18,ConG,control,SMS11,SMS12,0.25,1.3333333333333333,1.0833333333333333,0.5,29.083333333333332,28.583333333333332,true
9,1.7232363e+18,ConG,control,SMS11,SMS12,0.3333333333333333,1.4166666666666667,1.0833333333333335,1.3333333333333333,2.8333333333333335,1.5000000000000002,true
10,1.7233407e+18,ConG,control,SMS11,SMS12,0.4166666666666667,2.5,2.0833333333333335,0.6666666666666666,5.583333333333333,4.916666666666666,true
11,1.7253117e+18,ConG,control,SMS11,SMS12,0.0,NaN,NaN,0.16666666666666666,27.5,27.333333333333332,false
12,1.7255781e+18,ConG,control,SMS11,SMS12,0.4166666666666667,3.0833333333333335,2.666666666666667,0.5833333333333334,10.083333333333334,9.5,true
13,1.7279928e+18,ConG,control,SMS11,SMS12,0.4166666666666667,NaN,NaN,16.666666666666668,2.1666666666666665,-14.500000000000002,false
14,1.728558e+18,ConG,control,SMS11,SMS12,0.08333333333333333,NaN,NaN,63.75,1.0833333333333333,-62.666666666666664,false
15,1.7286273e+18,ConG,control,SMS11,SMS12,0.3333333333333333,NaN,NaN,44.5,70.25,25.75,false
16,1.7287227e+18,ConG,control,SMS11,SMS12,0.5,48.833333333333336,48.333333333333336,58.75,64.41666666666667,5.666666666666671,true
17,1.7287812e+18,ConG,control,SMS11,SMS12,0.4166666666666667,32.416666666666664,31.999999999999996,59.666666666666664,68.83333333333333,9.166666666666664,true
18,1.728882e+18,ConG,control,SMS11,SMS12,0.5833333333333334,6.333333333333333,5.75,31.666666666666668,40.833333333333336,9.166666666666668,true
19,1.728927e+18,ConG,control,SMS11,SMS12,0.4166666666666667,2.5,2.0833333333333335,19.166666666666668,28.333333333333332,9.166666666666664,true
20,1.7289927e+18,ConG,control,SMS11,SMS12,0.4166666666666667,2.1666666666666665,1.7499999999999998,0.9166666666666666,10.083333333333334,9.166666666666668,true
21,1.7293176e+18,ConG,control,SMS11,SMS12,0.6666666666666666,3.5,2.8333333333333335,1.1666666666666667,7.583333333333333,6.416666666666666,true
22,1.7303526e+18,ConG,control,SMS11,SMS12,0.5,34.666666666666664,34.166666666666664,46.0,65.41666666666667,19.41666666666667,true
23,1.7304471e+18,ConG,control,SMS11,SMS12,0.16666666666666666,7.083333333333333,6.916666666666666,19.75,39.166666666666664,19.416666666666664,true
24,1.7305146e+18,ConG,control,SMS11,SMS12,0.4166666666666667,NaN,NaN,1.0,20.416666666666668,19.416666666666668,false
25,1.7305929e+18,ConG,control,SMS11,SMS12,0.5833333333333334,NaN,NaN,1.1666666666666667,0.3333333333333333,-0.8333333333333335,false
26,1.7314542e+18,ConG,control,SMS11,SMS12,0.5833333333333334,6.0,5.416666666666667,67.66666666666667,51.166666666666664,-16.500000000000007,true
27,1.7315361e+18,ConG,control,SMS11,SMS12,12.666666666666666,55.166666666666664,42.5,44.916666666666664,58.25,13.333333333333336,true
28,1.7315775e+18,ConG,control,SMS11,SMS12,3.1666666666666665,69.08333333333333,65.91666666666666,33.416666666666664,69.08333333333333,35.666666666666664,true
29,1.7316243e+18,ConG,control,SMS11,SMS12,0.5833333333333334,2.25,1.6666666666666665,20.416666666666668,56.083333333333336,35.66666666666667,true
30,1.7316954e+18,ConG,control,SMS11,SMS12,0.4166666666666667,NaN,NaN,0.6666666666666666,36.333333333333336,35.66666666666667,false
31,1.7318088e+18,ConG,control,SMS11,SMS12,NaN,2.75,NaN,0.6666666666666666,4.833333333333333,4.166666666666666,true
32,1.7326116e+18,ConG,control,SMS11,SMS12,0.9166666666666666,10.833333333333334,9.916666666666668,10.666666666666666,15.416666666666666,4.75,true
33,1.7329545e+18,ConG,control,SMS11,SMS12,0.5833333333333334,4.25,3.6666666666666665,38.916666666666664,39.666666666666664,0.75,true
34,1.7339076e+18,ConG,control,SMS11,SMS12,0.5833333333333334,11.25,10.666666666666666,53.583333333333336,56.083333333333336,2.5,true
35,1.7339751e+18,ConG,control,SMS11,SMS12,14.75,1.0833333333333333,-13.666666666666666,34.833333333333336,37.333333333333336,2.5,true
36,1.7340084e+18,ConG,control,SMS11,SMS12,25.416666666666668,NaN,NaN,25.583333333333332,28.083333333333332,2.5,false
37,1.7340723e+18,ConG,control,SMS11,SMS12,0.0,NaN,NaN,7.833333333333333,10.333333333333334,2.500000000000001,false
38,1.7340993e+18,ConG,control,SMS11,SMS12,0.16666666666666666,NaN,NaN,0.3333333333333333,2.8333333333333335,2.5,false
39,1.7352846e+18,ConG,control,SMS11,SMS12,0.4166666666666667,NaN,NaN,62.583333333333336,0.08333333333333333,-62.5,false
40,1.7355024e+18,ConG,control,SMS11,SMS12,0.0,NaN,NaN,2.0833333333333335,29.166666666666668,27.083333333333336,false
41,1.7417259e+18,ConG,control,SMS11,SMS12,0.0,NaN,NaN,2.5,54.583333333333336,52.083333333333336,false
42,1.7474355e+18,ConG,control,SMS11,SMS12,17.75,NaN,NaN,27.833333333333332,0.0,-27.833333333333332,false
43,1.7474958e+18,ConG,control,SMS11,SMS12,0.8333333333333334,NaN,NaN,11.083333333333334,0.0,-11.083333333333334,false
44,1.7475318e+18,ConG,control,SMS11,SMS12,0.5,NaN,NaN,1.0833333333333333,0.0,-1.0833333333333333,false
45,1.7496783e+18,ConG,control,SMS11,SMS12,0.8333333333333334,68.75,67.91666666666667,1.25,70.5,69.25,true
46,1.7506251e+18,ConG,control,SMS11,SMS12,0.4166666666666667,NaN,NaN,3.25,1.5,-1.75,false
47,1.7531298e+18,ConG,control,SMS11,SMS12,0.0,NaN,NaN,1.5,0.16666666666666666,-1.3333333333333333,false
48,1.7540874e+18,ConG,control,SMS11,SMS12,0.0,39.75,39.75,43.333333333333336,72.0,28.666666666666664,true
49,1.7542404e+18,ConG,control,SMS11,SMS12,0.6666666666666666,4.083333333333333,3.4166666666666665,0.8333333333333334,33.083333333333336,32.25,true
50,1.7543367e+18,ConG,control,SMS11,SMS12,0.6666666666666666,2.0,1.3333333333333335,0.75,6.333333333333333,5.583333333333333,true
51,1.7554563e+18,ConG,control,SMS11,SMS12,0.5833333333333334,NaN,NaN,1.5,0.0,-1.5,false
52,1.7566785e+18,ConG,control,SMS11,SMS12,0.5833333333333334,NaN,NaN,1.8333333333333333,0.0,-1.8333333333333333,false
53,1.7572914e+18,ConG,control,SMS11,SMS12,0.6666666666666666,45.083333333333336,44.41666666666667,1.0,72.0,71.0,true
54,1.7576217e+18,ConG,control,SMS11,SMS12,0.4166666666666667,37.0,36.583333333333336,32.25,46.25,14.0,true
55,1.7577351e+18,ConG,control,SMS11,SMS12,0.5833333333333334,5.0,4.416666666666667,0.75,14.75,14.0,true
56,1.7582472e+18,ConG,control,SMS11,SMS12,0.6666666666666666,NaN,NaN,71.25,0.0,-71.25,false
57,1.7585001e+18,ConG,control,SMS11,SMS12,0.6666666666666666,5.416666666666667,4.75,24.083333333333332,29.916666666666668,5.833333333333336,true
58,1.7585838e+18,ConG,control,SMS11,SMS12,0.5,6.666666666666667,6.166666666666667,69.33333333333333,6.666666666666667,-62.666666666666664,true
59,1.7588304e+18,ConG,control,SMS11,SMS12,0.6666666666666666,4.583333333333333,3.9166666666666665,48.25,8.75,-39.5,true
60,1.7590014e+18,ConG,control,SMS11,SMS12,0.5833333333333334,NaN,NaN,0.75,7.5,6.75,false
61,1.7593677e+18,ConG,control,SMS11,SMS12,1.0,58.25,57.25,50.0,62.916666666666664,12.916666666666664,true
62,1.7595441e+18,ConG,control,SMS11,SMS12,0.5833333333333334,7.416666666666667,6.833333333333334,1.0,13.916666666666666,12.916666666666666,true
63,1.7599257e+18,ConG,control,SMS11,SMS12,0.5,NaN,NaN,3.6666666666666665,0.0,-3.6666666666666665,false
64,1.7603586e+18,ConG,control,SMS11,SMS12,0.6666666666666666,NaN,NaN,10.916666666666666,32.0,21.083333333333336,false
65,1.7603955e+18,ConG,control,SMS11,SMS12,0.3333333333333333,NaN,NaN,0.6666666666666666,71.16666666666667,70.5,false
66,1.7605098e+18,ConG,control,SMS11,SMS12,0.25,53.666666666666664,53.416666666666664,64.91666666666667,71.91666666666667,7.0,true
67,1.760571e+18,ConG,control,SMS11,SMS12,0.5833333333333334,35.75,35.166666666666664,47.916666666666664,59.083333333333336,11.166666666666671,true
68,1.7606115e+18,ConG,control,SMS11,SMS12,0.4166666666666667,24.5,24.083333333333332,36.666666666666664,47.833333333333336,11.166666666666671,true
69,1.7606736e+18,ConG,control,SMS11,SMS12,0.6666666666666666,9.166666666666666,8.5,19.416666666666668,30.583333333333332,11.166666666666664,true
70,1.7607393e+18,ConG,control,SMS11,SMS12,0.75,5.083333333333333,4.333333333333333,1.1666666666666667,12.333333333333334,11.166666666666668,true
71,1.760841e+18,ConG,control,SMS11,SMS12,0.5833333333333334,8.0,7.416666666666667,2.4166666666666665,70.08333333333333,67.66666666666666,true
72,1.7609427e+18,ConG,control,SMS11,SMS12,0.4166666666666667,30.416666666666668,30.0,51.5,41.833333333333336,-9.666666666666664,true
