event,event_start,depth_cm,sensor_id,treatment,location,tag,peak_time,peak_vwc,tail_hours,n_samples,exp_A,exp_tau_h,exp_C,exp_r2,pow_A,pow_alpha,pow_C,pow_r2
9,1.7232363e+18,40,SMS16,control,ConI,bottom,1.7232435e+18,0.4836547899999999,24.916666666666668,300,0.2707629197098022,1929.4767167271302,0.21193761265367025,0.8919026284568626,0.4726115641766278,0.0023235498008728366,0.010835565110021724,0.8066857011191055
10,1.7233407e+18,40,SMS16,control,ConI,bottom,1.7233533e+18,0.4852063899999999,167.91666666666666,2015,0.02335144468558385,192.7831344129828,0.46175526601788336,0.9725518585858967,0.4926385987026416,0.007633942172674625,7.053021433162432e-10,0.8056684107561309
12,1.7255781e+18,40,SMS16,control,ConI,bottom,1.7255991e+18,0.48035764,167.91666666666666,2016,0.015462539967339982,19.98491330202251,0.4655075046213364,0.967085611749566,0.03671230375955889,0.13591689361973383,0.4462243283270698,0.8786387826907566
20,1.7289927e+18,40,SMS16,control,ConI,bottom,1.7290098e+18,0.48163771,83.41666666666667,1002,0.14690733965423725,935.318132332628,0.3345718351169182,0.9742346842600684,0.4867870369787403,0.007050319148989378,7.514180466980925e-9,0.7516632432581467
21,1.7293176e+18,40,SMS16,control,ConI,bottom,1.7293317e+18,0.48540034,167.91666666666666,2016,0.018211453933236064,71.99173499012088,0.4664268883776376,0.9825688585439355,0.49249663255784415,0.009534273972839298,7.819156350729009e-19,0.9173066882796282
26,1.7314542e+18,40,SMS16,control,ConI,bottom,1.731483e+18,0.4841978499999999,12.666666666666666,153,0.0031136613205589316,8.27995293968641,0.48077215190294176,0.9719077745198977,0.39928793520459954,0.002099904326939982,0.08444953416684738,0.9472323664710279
32,1.7326116e+18,40,SMS16,control,ConI,bottom,1.7326632e+18,0.4826074600000001,78.83333333333334,947,0.48274308255694465,3672.3491151734925,8.34659002684382e-7,0.9872324117197522,0.4869221314662079,0.005708864348382853,3.583048628559197e-19,0.7479490748870108
33,1.7329545e+18,40,SMS16,control,ConI,bottom,1.7329836e+18,0.4822583499999999,167.91666666666666,2016,0.4828393308520102,8396.890882899183,6.3089273928502235e-9,0.9645090305357606,0.4880508972318827,0.005013465792065353,8.994647541388069e-10,0.6841473539928411
40,1.7355024e+18,40,SMS16,control,ConI,bottom,1.7355459e+18,0.4722505299999999,167.91666666666666,2016,0.012765548288779521,146.41284676899627,0.4591407040989939,0.9660596847146712,0.4767423196019488,0.005132772865913361,8.408385858664468e-11,0.8425605415029553
45,1.7496783e+18,40,SMS16,control,ConI,bottom,1.7497569e+18,0.429,167.91666666666666,2016,2.1037182475359296e-19,3404.1494859479317,0.4299900793650804,2.220446049250313e-16,2.2937107453513436e-10,0.000010381285092059438,0.4299900779003788,-4.2594816562768756e-12
50,1.7543367e+18,40,SMS16,control,ConI,bottom,1.754361e+18,0.483,167.91666666666666,2016,0.028804573406694397,58.47994802913042,0.45200328832829817,0.9616958692688022,0.49326497804261854,0.016143292787707857,1.330186299247334e-21,0.942261248479053
55,1.7577351e+18,40,SMS16,control,ConI,bottom,1.7577615e+18,0.483,132.83333333333331,1595,0.019566132502813086,30.933778358144238,0.4596448002593183,0.9452066333302422,0.48465718006615643,0.011095770531755794,1.0988834663465767e-12,0.9649869877650276
57,1.7585001e+18,40,SMS16,control,ConI,bottom,1.7585247e+18,0.485,14.333333333333332,173,0.48590988114750244,839.9815563843143,1.2323141026776564e-9,0.9709309166225918,0.4862758167881072,0.005306755191868055,1.0968703933507201e-10,0.7661432882749352
58,1.7585838e+18,40,SMS16,control,ConI,bottom,1.7585961e+18,0.484,63.0,757,0.022815870127927372,53.84765113567263,0.46211057125344757,0.9870157352168079,0.4898935492047376,0.009380874812245385,5.686648800133964e-15,0.8586264933623019
