filename,file_size_MB,n_points,x_min,x_max,y_min,y_max,z_min,z_max,t_summary_s,t_histogram_s,plot_path
Lines_J_K_L_soil_profile_TROFOR_14_59_30.xyz,17.8,531961,-5.369,5.153,-8.021,8.435,-1.043,0.975,0.5,0.6,plots/13_xyz/Lines_J_K_L_soil_profile_TROFOR_14_59_30.png
trench_initial_15_10_51.xyz,26.2,775066,-6.539,6.695,-2.186,2.223,-0.323,0.326,0.7,0.8,plots/13_xyz/trench_initial_15_10_51.png
Swale_line_E_(wrong_in_pic)_15_10_10.xyz,31.5,926636,-11.531,11.816,-2.014,2.066,-0.645,0.777,0.9,1.1,plots/13_xyz/Swale_line_E__wrong_in_pic__15_10_10.png
SWALE_line_D_17_47_34.xyz,53.9,1582244,-3.159,3.055,-12.198,12.044,-0.805,0.663,1.4,1.5,plots/13_xyz/SWALE_line_D_17_47_34.png
2025_swale_experiment_lower_part_10_27_11.xyz,61.3,1820665,-7.496,6.824,-5.184,5.186,-1.174,0.351,3.5,4.4,plots/13_xyz/2025_swale_experiment_lower_part_10_27_11.png
Untitled_Scan_14_10_45.xyz,62.1,1852094,-12.049,11.528,-7.885,7.908,-1.311,1.286,4.2,8.7,plots/13_xyz/Untitled_Scan_14_10_45.png
Line_F_SP_swale_15_02_39.xyz,65.0,1948349,-12.002,11.998,-4.223,4.224,-1.092,1.067,7.1,5.6,plots/13_xyz/Line_F_SP_swale_15_02_39.png
2025_swale_experiment_upper_part_10_24_50.xyz,65.3,1963522,-7.188,7.267,-5.082,5.238,-1.311,1.255,7.0,2.0,plots/13_xyz/2025_swale_experiment_upper_part_10_24_50.png
Lines_A_B_G_H_I_SMS_nut_no_second_pole_15_08_42.xyz,74.0,2187933,-5.161,5.213,-10.335,10.906,-0.79,0.764,1.9,1.9,plots/13_xyz/Lines_A_B_G_H_I_SMS_nut_no_second_pole_15_08_42.png
Followup_scannincludind_2_poles_to_correct_previous_one_15_07_19.xyz,87.9,2603228,-7.396,7.318,-7.527,17.744,-0.845,0.803,2.2,2.3,plots/13_xyz/Followup_scannincludind_2_poles_to_correct_previous_one_15_07_19.png
"SMS_1,2,6,7_15_03_57.xyz",119.7,3536535,-13.012,13.091,-4.952,4.782,-0.967,0.879,3.2,3.2,plots/13_xyz/SMS_1_2_6_7_15_03_57.png
2025_swale_experimemt_control_part_10_18_13.xyz,131.4,3948284,-8.742,8.747,-6.482,6.257,-1.59,1.216,3.4,3.5,plots/13_xyz/2025_swale_experimemt_control_part_10_18_13.png
Untitled_Scan_14_38_05.xyz,155.3,4688668,-13.353,13.708,-12.049,12.152,-1.448,3.329,3.9,4.4,plots/13_xyz/Untitled_Scan_14_38_05.png
Line_C_SMS_3_and_10_15_00_32.xyz,157.4,4653524,-13.611,13.09,-5.603,5.721,-1.192,0.952,4.6,4.7,plots/13_xyz/Line_C_SMS_3_and_10_15_00_32.png
Untitled_Scan_14_15_27.xyz,191.7,5739518,-11.391,11.591,-6.147,6.766,-0.964,1.001,5.5,5.7,plots/13_xyz/Untitled_Scan_14_15_27.png
prior_scan_15_12_20.xyz,355.2,10706031,-11.97,10.139,-13.551,14.249,-0.679,2.91,9.7,9.1,plots/13_xyz/prior_scan_15_12_20.png
24.05.30_-_con_sw_and_for_2_12_44_34.xyz,358.6,10289460,-23.639,22.902,-22.136,26.793,-2.617,3.547,13.3,29.1,plots/13_xyz/24.05.30_-_con_sw_and_for_2_12_44_34.png
24.05.30_-_con_sw_and_for_2_13_23_43.xyz,994.8,28541143,-23.641,22.902,-22.13,26.798,-2.617,3.556,51.8,21.8,plots/13_xyz/24.05.30_-_con_sw_and_for_2_13_23_43.png
24.05.30_-_con_sw_and_for_3_11_56_35.xyz,994.8,28541143,-23.638,22.904,-22.134,26.795,-2.617,3.554,21.2,22.1,plots/13_xyz/24.05.30_-_con_sw_and_for_3_11_56_35.png
24.05.30_-_con_sw_and_for_3_12_16_16.xyz,994.8,28541143,-23.64,22.9,-22.139,26.795,-2.617,3.556,20.4,21.2,plots/13_xyz/24.05.30_-_con_sw_and_for_3_12_16_16.png
24.05.30_-_con_sw_and_for_11_24_35.xyz,994.8,28541143,-23.639,22.899,-22.131,26.792,-2.617,3.552,33.4,20.5,plots/13_xyz/24.05.30_-_con_sw_and_for_11_24_35.png
24.05.30_-_con_sw_and_for_11_59_00.xyz,994.8,28541143,-23.64,22.901,-22.138,26.793,-2.617,3.558,17.4,17.7,plots/13_xyz/24.05.30_-_con_sw_and_for_11_59_00.png
