sensor_id,variable,boundary,n_xlsx_24h,n_csv_24h,med_xlsx,med_csv,delta
SMS03,bulk_ec,2025-02-04T07:05:00.000000,289,292,1.116863247780561,4.3655,3.2486
SMS10,bulk_ec,2025-02-04T07:05:00.000000,289,292,1.438798578255845,4.616,3.1772
SMS14,bulk_ec,2025-02-04T07:25:00.000000,288,292,1.506607066186742,4.445,2.9384
SMS02,bulk_ec,2025-02-04T07:05:00.000000,289,292,1.475706533275895,4.396,2.9203
SMS13,bulk_ec,2025-02-04T07:25:00.000000,288,292,0.9840111057611335,3.834,2.85
SMS01,bulk_ec,2025-02-04T07:05:00.000000,289,292,1.086425623617066,3.725,2.6386
SMS12,bulk_ec,2025-02-04T07:25:00.000000,288,292,1.069054879222658,3.67,2.6009
SMS16,bulk_ec,2025-02-04T07:25:00.000000,288,293,1.386755828871888,3.97,2.5832
SMS11,bulk_ec,2025-02-04T07:25:00.000000,288,292,0.7030723198838335,2.757,2.0539
SMS15,bulk_ec,2025-02-04T07:25:00.000000,288,292,0.6508790422019668,2.405,1.7541
SMS03,soil_temp,2025-02-04T07:05:00.000000,289,292,28.3,28.1,-0.2
SMS02,soil_temp,2025-02-04T07:05:00.000000,289,292,30.1,30.0,-0.1
SMS11,soil_temp,2025-02-04T07:25:00.000000,288,292,29.9,29.8,-0.1
SMS16,soil_temp,2025-02-04T07:25:00.000000,288,293,30.97,30.9,-0.07
SMS15,soil_temp,2025-02-04T07:25:00.000000,288,292,30.96,31.0,0.04
SMS03,moisture,2025-02-04T07:05:00.000000,289,292,0.3793096899999999,0.393,0.0137
SMS15,moisture,2025-02-04T07:25:00.000000,288,292,0.37172624499999996,0.369,-0.0027
SMS11,moisture,2025-02-04T07:25:00.000000,288,292,0.3667805200000001,0.365,-0.0018
SMS13,moisture,2025-02-04T07:25:00.000000,288,292,0.36567500500000005,0.364,-0.0017
SMS01,moisture,2025-02-04T07:05:00.000000,289,292,0.40584205,0.4045,-0.0013
SMS10,moisture,2025-02-04T07:05:00.000000,289,292,0.4279135600000001,0.427,-0.0009
SMS02,moisture,2025-02-04T07:05:00.000000,289,292,0.44773525,0.447,-0.0007
SMS16,moisture,2025-02-04T07:25:00.000000,288,293,0.4566181600000001,0.456,-0.0006
SMS12,moisture,2025-02-04T07:25:00.000000,288,292,0.4084021899999999,0.408,-0.0004
SMS14,moisture,2025-02-04T07:25:00.000000,288,292,0.4491704799999998,0.449,-0.0002
SMS01,soil_temp,2025-02-04T07:05:00.000000,289,292,30.0,30.0,0.0
SMS10,soil_temp,2025-02-04T07:05:00.000000,289,292,28.7,28.7,0.0
SMS12,soil_temp,2025-02-04T07:25:00.000000,288,292,30.1,30.1,0.0
SMS13,soil_temp,2025-02-04T07:25:00.000000,288,292,30.7,30.7,0.0
SMS14,soil_temp,2025-02-04T07:25:00.000000,288,292,30.6,30.6,0.0
