logger_serial,sensor_id,variable,n_both,n_only_dump,n_only_cache,n_disagree,max_abs_diff,median_disagree_diff
05511,,bulk_ec,0,0,95407,0,,
05511,,moisture,0,0,95407,0,,
05511,,soil_temp,0,0,95407,0,,
05511,SMS11,bulk_ec,161545,27869,61,56765,2.1488070883780717,1.6414222320366112
05511,SMS11,moisture,161546,27869,60,0,0.0008871400000000085,
05511,SMS11,soil_temp,161546,27869,60,7268,0.05000000000000426,0.03999999999999915
05511,SMS12,bulk_ec,161606,27869,0,56826,3.0697643653899283,2.436559663551244
05511,SMS12,moisture,161606,27869,0,0,0.0006170500000001189,
05511,SMS12,soil_temp,161606,27869,0,954,0.05000000000000426,0.03999999999999915
05511,SMS13,bulk_ec,161647,27869,0,56867,3.0643762160223345,2.603010362282613
05511,SMS13,moisture,161647,27869,0,0,0.0005614899999999978,
05511,SMS13,soil_temp,161647,27869,0,7189,0.09999999999999787,0.03999999999999915
05511,SMS14,bulk_ec,161648,27869,0,56868,3.0588332215477,2.839183478572191
05511,SMS14,moisture,161648,27869,0,0,0.000499960000000077,
05511,SMS14,soil_temp,161648,27869,0,845,0.05000000000000426,0.03999999999999915
05511,SMS15,bulk_ec,161650,27869,0,56870,2.4699621547696307,1.8370162247725639
05511,SMS15,moisture,161650,27869,0,0,0.0005394700000002084,
05511,SMS15,soil_temp,161650,27869,0,8384,0.10000000000000142,0.03999999999999915
05511,SMS16,bulk_ec,161651,27869,0,56870,2.827856981775684,2.5185602292540716
05511,SMS16,moisture,161651,27869,0,0,0.0005284600000000084,
05511,SMS16,soil_temp,161651,27869,0,930,0.0799999999999983,0.03999999999999915
19570,,air_temp,0,0,16577,0,,
19570,,atm_pressure,0,0,16577,0,,
19570,,bulk_ec,0,0,67579,0,,
19570,,humidity,0,0,72977,0,,
19570,,max_precip_rate,0,0,16025,0,,
19570,,moisture,0,0,67579,0,,
19570,,precipitation,0,0,16025,0,,
19570,,soil_temp,0,0,67579,0,,
19570,ATMOS14_19570,air_temp,161095,27868,0,55898,14.2,3.16
19570,ATMOS14_19570,atm_pressure,161095,27868,0,43062,0.6700000000000017,0.25
19570,ATMOS14_19570,vapor_pressure,161095,27868,0,1,0.6030000000000002,0.6030000000000002
19570,ATMOS14_19570,vpd,161095,27868,0,1,1.27,1.27
19570,ECRN100_19570,max_precip_rate,161095,27868,0,1626,192.0,12.0
19570,ECRN100_19570,precipitation,161095,27868,0,1642,15.2,0.4
19570,SMS01,bulk_ec,161095,27868,0,56401,3.0877070077192457,2.703562116532849
19570,SMS01,moisture,161095,27868,0,47495,0.05043236000000012,0.004116050000000038
19570,SMS01,soil_temp,161095,27868,0,55767,5.859999999999999,1.5999999999999979
19570,SMS02,bulk_ec,161095,27868,0,56401,3.3290371174083466,2.7501833810875196
19570,SMS02,moisture,161095,27868,0,1853,0.05469318999999989,0.0023964499999999944
19570,SMS02,soil_temp,161095,27868,0,48738,0.6000000000000014,0.1999999999999993
19570,SMS03,bulk_ec,161095,27868,0,56401,3.340825184737599,2.4438883824122577
19570,SMS03,moisture,161095,27868,0,23438,0.11091841999999996,0.002242729999999915
19570,SMS03,soil_temp,161095,27868,0,54354,6.559999999999999,0.5
19570,SMS10,bulk_ec,161095,27868,0,56401,3.379745560461586,3.09635436482173
19570,SMS10,moisture,161095,27868,0,4180,0.025467240000000002,0.0028932100000000904
19570,SMS10,soil_temp,161095,27868,0,29392,1.5,0.10000000000000142
19574,,bulk_ec,0,0,372449,0,,
19574,,moisture,0,0,372451,0,,
19574,,soil_temp,0,0,372447,0,,
19574,SMS04,bulk_ec,116917,27651,0,116917,3.8199640596282034,2.8318431970546967
19574,SMS04,moisture,116917,27651,0,3483,0.013295000000000112,0.002234270000000149
19574,SMS04,soil_temp,116917,27651,0,27356,0.6999999999999993,0.10000000000000142
19574,SMS05,bulk_ec,116917,27651,0,116917,5.134388730300651,3.9780239535883712
19574,SMS05,moisture,116917,27651,0,3367,0.009037359999999994,0.002048449999999924
19574,SMS05,soil_temp,116917,27651,0,5874,0.1999999999999993,0.10000000000000142
19574,SMS06,bulk_ec,93049,11045,23868,93049,2.296324417112811,1.3558502788954778
19574,SMS06,moisture,116917,27651,0,21030,0.08005486000000009,0.0018617999999999968
19574,SMS06,soil_temp,116917,27651,0,45618,8.399999999999999,1.6999999999999957
19574,SMS07,bulk_ec,116917,27651,0,116917,3.2948105191098342,2.7502279985310443
19574,SMS07,moisture,116917,27651,0,6442,0.005612190000000017,0.0019754999999999634
19574,SMS07,soil_temp,116917,27651,0,32303,0.6000000000000014,0.1999999999999993
19574,SMS08,bulk_ec,61416,4579,55501,61416,3.7029520239675295,2.239189460724666
19574,SMS08,moisture,116917,27651,0,10262,0.06617164,0.0015694850000000093
19574,SMS08,soil_temp,116917,27651,0,48316,9.000000000000004,1.9900000000000002
19574,SMS09,bulk_ec,116917,14973,0,116917,4.043713340056385,3.590485388228614
19574,SMS09,moisture,116917,14973,0,5572,0.007525269999999973,0.001741164999999989
19574,SMS09,soil_temp,116917,14973,0,35056,0.7000000000000028,0.21999999999999886
