event,start,end,dur_min,total_mm,peak_mm,n_inc
0,2024-05-28T19:10:00.000000,2024-05-28T19:15:00.000000,5,1.4,1.2,2
1,2024-05-29T10:05:00.000000,2024-05-29T11:25:00.000000,80,4.0,1.0,8
2,2024-06-01T21:45:00.000000,2024-06-01T22:15:00.000000,30,4.8,1.8,6
3,2024-06-05T16:10:00.000000,2024-06-05T16:20:00.000000,10,2.6000000000000005,2.2,3
4,2024-06-05T21:45:00.000000,2024-06-05T23:00:00.000000,75,2.4,1.4,4
5,2024-06-06T22:10:00.000000,2024-06-06T23:50:00.000000,100,12.4,3.0,13
6,2024-06-07T22:15:00.000000,2024-06-07T23:55:00.000000,100,1.6,0.8,3
7,2024-06-20T11:20:00.000000,2024-06-20T11:20:00.000000,0,1.8,1.8,1
8,2024-06-21T15:50:00.000000,2024-06-21T16:45:00.000000,55,2.2,0.8,4
9,2024-06-22T15:35:00.000000,2024-06-23T01:45:00.000000,610,27.200000000000003,5.0,36
10,2024-06-23T16:50:00.000000,2024-06-23T17:20:00.000000,30,10.8,8.200000000000001,5
11,2024-06-24T18:20:00.000000,2024-06-24T21:40:00.000000,200,5.6000000000000005,2.0,7
12,2024-06-25T19:55:00.000000,2024-06-25T20:20:00.000000,25,4.4,1.8,6
13,2024-07-03T18:15:00.000000,2024-07-03T19:05:00.000000,50,2.6,1.0,5
14,2024-07-03T22:35:00.000000,2024-07-03T23:40:00.000000,65,5.4,2.2,11
15,2024-07-05T20:20:00.000000,2024-07-06T05:20:00.000000,540,24.400000000000002,5.4,32
16,2024-07-12T18:25:00.000000,2024-07-13T03:30:00.000000,545,14.400000000000002,2.2,35
17,2024-07-16T22:50:00.000000,2024-07-17T01:30:00.000000,160,1.8,0.2,9
18,2024-07-18T17:15:00.000000,2024-07-18T18:50:00.000000,95,8.8,3.2,11
19,2024-07-19T16:35:00.000000,2024-07-19T17:55:00.000000,80,1.2000000000000002,0.2,6
20,2024-08-01T18:25:00.000000,2024-08-01T18:35:00.000000,10,1.4,1.0,3
21,2024-08-05T00:00:00.000000,2024-08-05T05:55:00.000000,355,15.000000000000002,0.8,53
22,2024-08-06T18:00:00.000000,2024-08-06T18:40:00.000000,40,2.0,0.8,4
23,2024-08-06T22:40:00.000000,2024-08-07T02:05:00.000000,205,15.200000000000001,3.2,20
24,2024-08-08T00:20:00.000000,2024-08-08T05:20:00.000000,300,27.6,4.800000000000001,24
25,2024-08-08T18:20:00.000000,2024-08-08T21:05:00.000000,165,34.2,5.4,25
26,2024-08-09T01:55:00.000000,2024-08-09T04:55:00.000000,180,7.800000000000001,1.2,20
27,2024-08-09T20:50:00.000000,2024-08-10T02:10:00.000000,320,164.6,15.2,44
28,2024-08-11T01:25:00.000000,2024-08-11T07:00:00.000000,335,16.2,1.4,43
29,2024-08-12T03:30:00.000000,2024-08-12T04:30:00.000000,60,4.2,1.8,5
30,2024-08-14T06:15:00.000000,2024-08-14T06:30:00.000000,15,6.000000000000001,3.2,4
31,2024-08-17T02:30:00.000000,2024-08-17T03:05:00.000000,35,2.2,1.0,3
32,2024-08-27T22:30:00.000000,2024-08-28T02:45:00.000000,255,18.4,5.0,13
33,2024-08-29T20:05:00.000000,2024-08-29T21:20:00.000000,75,3.4000000000000004,1.6,7
34,2024-08-30T21:50:00.000000,2024-08-31T00:40:00.000000,170,3.2,1.0,9
