sensor_id,our_location,our_tag,treatment,depth_cm,widmer_location,widmer_sensor,match_quality
SMS11,ConG,top,control,10,Top slope,11,ok
SMS12,ConG,top,control,40,Top slope,12,ok
SMS13,ConH,middle,control,10,Mid slope,13,ok
SMS14,ConH,middle,control,40,Mid slope,14,ok
SMS15,ConI,bottom,control,10,Bottom slope,15,ok
SMS16,ConI,bottom,control,40,Bottom slope,16,ok
SMS01,SwB,slope,swale,10,Top slope,1,ok
SMS02,SwB,slope,swale,40,Top slope,2,ok
,,,swale,10,Step,3,missing_from_our_metadata
SMS04,SwD,mount,swale,10,Mound,4,ok
SMS05,SwD,mount,swale,40,Mound,5,ok
SMS06,SwE,down,swale,10,Bottom slope 1,6,ok
SMS07,SwE,down,swale,40,Bottom slope 1,7,ok
SMS08,SwF,far,swale,10,Bottom slope 2,8,ok
SMS09,SwF,far,swale,40,Bottom slope 2,9,ok
SMS10,Step??,step,swale,40,Step,10,ok
SMS03,SwD,mount,swale,-10,Mound,,no_widmer_slot_above_ground
SMS23,?,,,,,,tag_unmapped
SMS24,?,,,,,,tag_unmapped
